#Selection name: Selection 4
#Area (µm^2): 3190188.54
Cell ID,Cluster,Transcripts,Area (µm^2)
kmemfmgn-1,Cluster 2,1,84.58
klncgabi-1,Cluster 1,0,103.00
kpladmho-1,Cluster 1,0,112.17
kpkknenb-1,Cluster 1,0,147.89
kplmbjlp-1,Cluster 1,0,107.07
kpkhfnjk-1,Cluster 1,1,60.60
kpkicjcm-1,Cluster 1,0,155.92
kpkhcohj-1,Cluster 1,0,262.85
kocnkfdi-1,Cluster 1,0,120.70
kofbfhlp-1,Cluster 1,0,76.36
kofcbelp-1,Cluster 1,0,76.27
kpkfjgai-1,Cluster 1,0,244.11
kmfdgbjb-1,Cluster 1,1,279.70
koepfcfd-1,Cluster 1,0,96.68
kloboimc-1,Cluster 1,1,138.90
kocledlb-1,Cluster 1,0,230.66
kocldibh-1,Cluster 1,0,87.74
kofclhlh-1,Cluster 1,1,110.36
kodfimcc-1,Cluster 1,0,199.86
kpkjieen-1,Cluster 1,0,38.88
kpllioai-1,Cluster 1,0,170.69
kpkfgfeh-1,Cluster 2,0,70.94
kplbofmm-1,Cluster 1,0,164.82
kpmablae-1,Cluster 1,0,70.99
aameklce-1,Cluster 1,0,191.96
kocbgido-1,Cluster 1,0,201.98
kocfekie-1,Cluster 1,2,264.98
kochekfh-1,Cluster 1,1,182.70
kpknbgpk-1,Cluster 1,2,323.14
kocilpnh-1,Cluster 1,0,315.28
kocniddk-1,Cluster 1,0,143.15
kpkmlcfm-1,Cluster 1,0,286.02
kodpnodk-1,Cluster 1,1,164.28
kofenmgp-1,Cluster 1,0,73.74
klofhjfc-1,Cluster 2,0,44.16
kofhlfph-1,Cluster 1,0,127.39
kocehhme-1,Cluster 1,2,128.74
koeladne-1,Cluster 1,0,420.86
koeafggn-1,Cluster 1,0,119.44
kodbnnge-1,Cluster 1,0,32.11
kocmhkfh-1,Cluster 1,0,418.06
kodmmdfh-1,Cluster 1,0,266.69
kodffbnm-1,Cluster 1,0,64.57
kodmiofl-1,Cluster 1,0,57.94
kodbkhbi-1,Cluster 1,0,89.45
kofaemfc-1,Cluster 1,0,132.13
koekfche-1,Cluster 1,0,253.73
mflinnoa-1,Cluster 2,0,39.02
mfgcgfgo-1,Cluster 2,0,55.14
mfhliplk-1,Cluster 1,0,185.86
mdmmnblp-1,Cluster 2,0,31.52
ohiohikj-1,Cluster 1,0,205.33
mfgbnijd-1,Cluster 2,0,99.39
ohfkoami-1,Cluster 2,0,107.11
ohgcegco-1,Cluster 2,0,95.51
meajjgbm-1,Cluster 2,0,12.78
ohihakog-1,Cluster 1,1,184.19
mffmipjh-1,Cluster 1,0,46.83
kpjmbede-1,Cluster 1,0,156.65
mfgadljf-1,Cluster 1,0,116.14
meahecae-1,Cluster 2,0,84.49
meahamic-1,Cluster 2,1,70.76
mffiljkc-1,Cluster 1,0,221.81
meagmfod-1,Cluster 2,2,135.38
ohgeaond-1,Cluster 2,0,64.44
ohiicagc-1,Cluster 2,0,86.29
meafnabl-1,Cluster 2,0,56.22
mffemfjk-1,Cluster 1,0,101.20
mffdfdnd-1,Cluster 1,0,34.18
mffbolhc-1,Cluster 1,0,85.71
mffolole-1,Cluster 2,0,15.85
ohgfnbdo-1,Cluster 2,1,199.95
mflkclnp-1,Cluster 1,0,272.56
aamcbehj-1,Cluster 1,0,105.71
mdmaelaf-1,Cluster 2,0,50.67
mffjgnlp-1,Cluster 1,0,410.97
mdmfhojn-1,Cluster 2,0,27.77
meaieoam-1,Cluster 2,0,35.99
mdmgbhko-1,Cluster 2,0,71.26
mdmkjomo-1,Cluster 2,0,21.86
mdmdcfab-1,Cluster 2,1,55.45
ohimpdcn-1,Cluster 2,0,65.57
mdmgngpa-1,Cluster 2,0,18.60
ohgdjcjh-1,Cluster 2,0,20.09
ohikolop-1,Cluster 2,1,63.76
ohijnaof-1,Cluster 2,0,145.90
mdpalcmm-1,Cluster 2,1,63.81
mdmkmkme-1,Cluster 2,0,21.18
mdoocphk-1,Cluster 2,0,64.48
ohfkpgli-1,Cluster 2,0,9.62
mdoockbl-1,Cluster 2,0,71.08
mdoljhci-1,Cluster 2,0,72.93
kmcjegmm-1,Cluster 2,0,26.55
kpjkgjli-1,Cluster 1,0,76.63
kpljpiid-1,Cluster 1,0,173.08
kpkdfcbn-1,Cluster 1,0,175.48
kpjkhndp-1,Cluster 1,1,71.26
kpjhaggo-1,Cluster 1,0,214.90
kmcjeknp-1,Cluster 2,1,64.71
kplcmlek-1,Cluster 1,0,280.01
kmchojmj-1,Cluster 2,0,48.36
kpjkjkbb-1,Cluster 1,0,50.98
kmfadgio-1,Cluster 2,0,62.63
oghcaopi-1,Cluster 1,0,120.57
kplieeca-1,Cluster 2,2,91.76
kplhjjlf-1,Cluster 1,0,254.09
kplnfedb-1,Cluster 1,0,126.75
kplocone-1,Cluster 1,1,234.54
mfhlodlm-1,Cluster 1,0,332.71
mfgffnim-1,Cluster 1,0,253.60
mfiebffl-1,Cluster 1,0,263.62
mfgfaoke-1,Cluster 1,0,162.38
mfhflofk-1,Cluster 1,0,320.20
mfnlljaf-1,Cluster 1,0,79.88
mfgendee-1,Cluster 1,0,131.18
mfnlffmg-1,Cluster 2,0,26.01
mfgpldbe-1,Cluster 1,0,154.03
mfglallp-1,Cluster 1,0,97.36
mfhhlmcb-1,Cluster 1,0,216.03
mfgfmolg-1,Cluster 1,0,132.94
mfiecaom-1,Cluster 1,0,260.01
mfhmdlbh-1,Cluster 1,0,301.55
mfnnhbbe-1,Cluster 2,0,22.31
mfhbkojp-1,Cluster 1,0,175.88
mfhfjobj-1,Cluster 1,0,115.10
mfhncpkg-1,Cluster 1,0,98.53
mfhcdmjp-1,Cluster 1,0,176.15
mficjooi-1,Cluster 1,0,42.72
mfnlfacl-1,Cluster 2,0,73.20
mfidikgn-1,Cluster 1,1,306.61
mfgmkgeg-1,Cluster 1,0,52.20
mfheiloe-1,Cluster 1,0,106.93
kpmamfgi-1,Cluster 1,1,279.52
kopjjocc-1,Cluster 1,0,216.16
kopmamph-1,Cluster 1,0,91.76
koplokan-1,Cluster 1,0,420.13
kopgoeef-1,Cluster 1,1,274.91
kpjmpmli-1,Cluster 1,0,74.42
kopgjnjh-1,Cluster 2,1,52.29
kplcjhgl-1,Cluster 1,2,81.96
kpakdlop-1,Cluster 2,0,70.40
kpkdjeoc-1,Cluster 1,0,26.96
kpjmmljb-1,Cluster 1,0,20.59
kpakbdoi-1,Cluster 1,0,267.78
kpjochdb-1,Cluster 1,0,87.51
mfhbieji-1,Cluster 1,0,111.58
kopfegng-1,Cluster 2,1,73.15
kopnnapd-1,Cluster 2,0,76.09
kopbepoj-1,Cluster 1,0,425.10
kpkfjcki-1,Cluster 1,0,246.96
kpkeiphc-1,Cluster 1,0,346.21
klnpilgl-1,Cluster 1,0,91.44
kopeedmd-1,Cluster 2,0,64.98
kpgkpelg-1,Cluster 2,1,81.01
kpgkooli-1,Cluster 2,0,103.81
kopnhmfn-1,Cluster 2,0,82.64
kpjgljej-1,Cluster 1,0,210.52
oggpoemm-1,Cluster 2,0,13.28
kpgnmnpp-1,Cluster 2,0,30.89
kpjdpfim-1,Cluster 1,0,108.87
kphbjcea-1,Cluster 2,0,82.68
oggpkkho-1,Cluster 1,2,278.98
klocgkkn-1,Cluster 2,2,48.90
kplciacj-1,Cluster 1,1,275.77
ogemkhgg-1,Cluster 2,0,168.52
kpgeofgf-1,Cluster 2,2,74.87
kpibbfei-1,Cluster 2,0,126.89
kopfjihh-1,Cluster 2,1,86.88
kpkajgci-1,Cluster 1,0,97.49
mfheaihh-1,Cluster 1,0,109.82
mfeipenc-1,Cluster 1,0,224.92
mfkpfnpj-1,Cluster 2,0,76.86
mfldenok-1,Cluster 1,0,379.40
mfoemgpn-1,Cluster 2,0,47.23
mffhgfgd-1,Cluster 1,0,66.33
mfocoiha-1,Cluster 2,0,62.50
mfkpkbcl-1,Cluster 1,0,118.99
mfodnpof-1,Cluster 2,0,32.47
mfodpnkp-1,Cluster 2,0,41.59
mfociefa-1,Cluster 2,0,34.73
mfobnaka-1,Cluster 2,1,53.96
mfldblaa-1,Cluster 1,0,197.47
mfkoapmn-1,Cluster 1,0,99.21
mflaabkc-1,Cluster 1,0,91.71
mfkplkmm-1,Cluster 1,0,204.15
mfelkmlk-1,Cluster 1,0,38.79
mfofjlbk-1,Cluster 2,0,20.91
mfofnkob-1,Cluster 2,0,13.55
mfklcfcn-1,Cluster 1,0,116.46
mfeommfd-1,Cluster 1,0,395.25
mfinlnci-1,Cluster 1,0,129.78
mfjjlajo-1,Cluster 1,0,90.00
mfnnkkcm-1,Cluster 2,0,89.18
mfeikgcf-1,Cluster 2,0,7.90
mfnnlibl-1,Cluster 2,0,59.47
mflajgij-1,Cluster 1,0,141.11
mfjbimaa-1,Cluster 1,0,217.88
mfndmmlf-1,Cluster 2,0,80.15
mfnmckkc-1,Cluster 1,0,22.80
mfjlhpjo-1,Cluster 1,0,88.05
mfilimnl-1,Cluster 1,0,218.01
mfnadedm-1,Cluster 2,0,66.74
mfigopoe-1,Cluster 1,0,31.11
mfjbiclc-1,Cluster 1,0,136.73
mfjdjflc-1,Cluster 1,0,186.63
mfjcmccn-1,Cluster 2,2,66.70
mfjceedh-1,Cluster 1,0,374.66
mffbmfih-1,Cluster 1,0,177.42
mffamngl-1,Cluster 1,0,63.44
mfieoboa-1,Cluster 1,0,220.41
mfifmlpg-1,Cluster 1,0,23.35
mfipegfk-1,Cluster 1,0,143.78
mfjgckpe-1,Cluster 1,0,95.37
mfkmkiie-1,Cluster 1,0,176.06
mfnbjobj-1,Cluster 2,0,51.12
mfnojgjk-1,Cluster 1,0,47.41
mfkmilol-1,Cluster 1,0,196.97
mfjgiobp-1,Cluster 1,0,395.70
mfifmhan-1,Cluster 1,0,252.20
mfilimil-1,Cluster 1,0,81.24
ohjbibim-1,Cluster 2,0,171.59
mfifdckm-1,Cluster 1,0,301.33
mfikpelb-1,Cluster 1,0,249.22
mfimgeoc-1,Cluster 1,0,274.28
mfnncaed-1,Cluster 1,0,174.30
mfimgegj-1,Cluster 1,0,275.36
mfijcomn-1,Cluster 1,0,87.69
mfimbchn-1,Cluster 1,0,210.16
mfihakca-1,Cluster 1,0,221.31
mfgdlbmm-1,Cluster 1,0,290.31
mflnheea-1,Cluster 1,1,244.93
meanhdni-1,Cluster 1,0,151.45
mdoipggj-1,Cluster 1,1,327.20
mdphnfma-1,Cluster 1,0,157.55
mdpmgnhm-1,Cluster 1,1,286.79
mfdeheff-1,Cluster 2,0,44.48
mfdfbbnb-1,Cluster 1,0,257.84
mdpionhj-1,Cluster 1,0,158.81
mdpjdlle-1,Cluster 1,0,263.98
mdokphin-1,Cluster 1,0,91.35
mfjnggjl-1,Cluster 1,1,350.37
mfjmpcna-1,Cluster 1,0,144.41
mdokleml-1,Cluster 1,1,114.25
mdpgapjj-1,Cluster 1,2,189.16
mdpocgpm-1,Cluster 1,0,261.14
mdpeajan-1,Cluster 1,0,442.08
mfjlppno-1,Cluster 1,0,127.79
meadgelm-1,Cluster 2,0,41.91
meaenoop-1,Cluster 2,0,26.91
mfkfjnof-1,Cluster 1,0,107.79
mfddljbi-1,Cluster 2,0,58.39
mdpddcjo-1,Cluster 1,0,168.12
mfddobdc-1,Cluster 1,0,62.99
mfdeaghk-1,Cluster 1,0,144.18
mdpdaocf-1,Cluster 1,1,91.80
mfdnbake-1,Cluster 1,0,124.22
meajpiop-1,Cluster 2,0,22.62
mdlpacom-1,Cluster 1,0,172.14
meabbgpp-1,Cluster 1,0,191.78
mfdmobgp-1,Cluster 1,0,257.21
mdpclbkh-1,Cluster 1,0,33.87
mfdkkbag-1,Cluster 1,0,61.77
mfdlakfm-1,Cluster 1,0,296.63
mfjpcplk-1,Cluster 1,0,205.42
mfdmhbkg-1,Cluster 1,0,125.35
mfdioinn-1,Cluster 1,0,257.39
mfdmffdn-1,Cluster 1,0,234.68
mfjoclhg-1,Cluster 1,0,156.06
mfkbnmbj-1,Cluster 1,0,76.18
mfkafgbp-1,Cluster 1,0,150.33
mdpbbebl-1,Cluster 1,1,62.04
mflpgbbp-1,Cluster 1,0,43.85
mdmlcpej-1,Cluster 2,0,52.02
mdmbcgko-1,Cluster 2,0,77.08
mflpjnmi-1,Cluster 1,0,130.64
mfjpfcaf-1,Cluster 1,0,30.53
meamfolk-1,Cluster 2,0,36.58
mfjpgjii-1,Cluster 1,0,163.33
mfkbomdn-1,Cluster 1,0,63.08
ohjahhdm-1,Cluster 1,1,236.03
mfjpiaak-1,Cluster 1,0,212.14
ohghggeg-1,Cluster 2,0,145.36
mfljjpji-1,Cluster 2,0,59.97
meajneka-1,Cluster 2,1,68.82
meadnehm-1,Cluster 2,0,54.23
mflopmak-1,Cluster 1,1,525.12
mfkhdjef-1,Cluster 1,0,215.76
mdpcgnmm-1,Cluster 2,0,48.99
mfliejbc-1,Cluster 1,0,255.31
mflkhhdk-1,Cluster 1,0,92.93
mfkagipg-1,Cluster 1,0,285.79
mfkcpioh-1,Cluster 1,0,118.63
mdpbncde-1,Cluster 2,1,96.00
ohfoneae-1,Cluster 2,0,170.06
mfbjleie-1,Cluster 2,0,24.47
ohgmigfk-1,Cluster 2,0,34.32
ohgiakao-1,Cluster 2,0,78.17
mebahkjf-1,Cluster 1,0,119.03
ohgfpmph-1,Cluster 1,2,65.39
ohhgofee-1,Cluster 2,0,225.51
mebamhjc-1,Cluster 1,0,277.44
mfconnoh-1,Cluster 2,3,58.21
mebbejhp-1,Cluster 2,0,18.02
mebcinik-1,Cluster 1,1,53.69
mfbiojge-1,Cluster 2,0,53.33
mebcjgco-1,Cluster 1,0,171.28
meccfocl-1,Cluster 1,0,181.03
ohfkmfna-1,Cluster 2,0,119.98
mecbeaog-1,Cluster 1,0,238.79
mecbbfie-1,Cluster 1,0,262.45
mecagepj-1,Cluster 1,0,168.48
mebppbhn-1,Cluster 1,0,74.06
ohhnajek-1,Cluster 1,0,118.54
mebnilnm-1,Cluster 1,0,208.22
mebkhkbl-1,Cluster 1,1,114.47
mebkfnbk-1,Cluster 1,0,142.02
mebimnce-1,Cluster 1,0,220.05
mebimmdl-1,Cluster 1,0,158.36
meeoiici-1,Cluster 1,0,233.68
mdlokjim-1,Cluster 1,1,239.01
ohggejaa-1,Cluster 2,0,209.48
mdlhffgh-1,Cluster 1,1,167.71
mebimdjk-1,Cluster 1,1,185.05
mebikhki-1,Cluster 1,0,110.32
mdljfgjo-1,Cluster 2,0,44.03
mebhfpgd-1,Cluster 1,3,443.03
mdlkcmjp-1,Cluster 1,1,66.29
ohfimnij-1,Cluster 1,0,101.01
mebenenf-1,Cluster 1,0,427.22
mdlmpabf-1,Cluster 1,0,205.64
mebefffj-1,Cluster 1,1,176.15
meamgelj-1,Cluster 1,0,147.62
mfcmodmi-1,Cluster 1,0,208.22
mdlmabji-1,Cluster 2,0,14.18
mfcmlicl-1,Cluster 1,1,154.80
mdlmjkke-1,Cluster 1,0,124.22
mfbifmji-1,Cluster 2,1,59.43
meadbjkb-1,Cluster 1,0,36.49
mdolaodk-1,Cluster 1,0,278.57
mggbecdc-1,Cluster 2,0,39.69
mdobjmee-1,Cluster 1,0,95.32
mdpilnpj-1,Cluster 1,0,146.94
mdnpkmhi-1,Cluster 1,0,232.01
mfbikhnl-1,Cluster 2,0,57.44
mdocanka-1,Cluster 1,0,107.65
mdocbigb-1,Cluster 1,0,234.14
mdodnahl-1,Cluster 1,0,116.01
mdoicflf-1,Cluster 1,0,253.82
mfblbmgp-1,Cluster 2,0,26.64
mdoejega-1,Cluster 1,0,133.80
mdlnncbe-1,Cluster 2,0,71.75
mdlkmmik-1,Cluster 2,1,96.18
mfdhlmce-1,Cluster 1,1,260.60
mfmdlbbm-1,Cluster 2,3,119.71
mfmklijn-1,Cluster 2,0,51.66
mfmonfod-1,Cluster 1,1,65.34
mfmnhppl-1,Cluster 2,0,28.58
mfmnabbd-1,Cluster 2,0,28.54
mfmbmhkl-1,Cluster 2,0,38.47
mfmkppdd-1,Cluster 2,1,48.09
mfmdajil-1,Cluster 2,1,57.94
mfchleen-1,Cluster 2,0,42.90
mfmcaemo-1,Cluster 2,0,80.92
mfmjmhdc-1,Cluster 2,0,65.66
mfmilnae-1,Cluster 2,0,17.48
mfoiijda-1,Cluster 2,0,62.04
mfcegija-1,Cluster 2,0,67.19
mfmkflce-1,Cluster 2,3,67.10
mfmlaadl-1,Cluster 2,0,22.49
mfmiidea-1,Cluster 2,0,34.50
mfmfmplm-1,Cluster 2,0,124.32
mfojkphe-1,Cluster 2,0,44.21
mfmjnllp-1,Cluster 2,0,27.46
mfchefhe-1,Cluster 2,0,46.78
mfpalepo-1,Cluster 2,0,62.23
mfojclmd-1,Cluster 2,0,89.91
mfonllhd-1,Cluster 2,0,39.33
mfkkfghh-1,Cluster 1,0,52.07
mfcfmooe-1,Cluster 2,0,56.72
mfcflljm-1,Cluster 2,0,56.81
mfcfifdd-1,Cluster 2,0,22.22
mfonjmed-1,Cluster 2,0,20.68
mfklbmep-1,Cluster 1,0,313.66
mfkkidig-1,Cluster 1,1,30.62
mflcejad-1,Cluster 1,0,154.57
mfcefoad-1,Cluster 1,1,195.71
mfonjfgb-1,Cluster 2,0,49.99
mfllflpa-1,Cluster 1,0,204.42
mflhmnae-1,Cluster 1,0,173.22
mfonddkh-1,Cluster 2,0,58.61
mfledkln-1,Cluster 1,0,134.75
mfpaiadj-1,Cluster 2,0,55.72
mfolkkbf-1,Cluster 2,0,58.43
mflfpfno-1,Cluster 1,0,89.32
mfpanfld-1,Cluster 2,0,28.85
mfpadeib-1,Cluster 2,1,81.91
mffjcpbk-1,Cluster 1,0,182.70
ohjjdgga-1,Cluster 2,1,161.52
mfnomhhd-1,Cluster 2,0,18.79
mfohiofp-1,Cluster 2,0,23.07
mflfmjng-1,Cluster 1,0,97.72
mfnokaen-1,Cluster 2,0,44.70
mfleoikg-1,Cluster 1,0,341.56
mfnpddnc-1,Cluster 2,0,22.71
mfflolhg-1,Cluster 1,0,47.14
mflfkehn-1,Cluster 1,0,236.48
mfmacdga-1,Cluster 1,0,14.77
mflonpfm-1,Cluster 1,0,251.20
ohjjgfob-1,Cluster 2,0,163.74
mflnjpcj-1,Cluster 1,0,70.17
mfkhdeei-1,Cluster 1,1,115.24
mfoiaddd-1,Cluster 2,2,88.28
mfmbjnam-1,Cluster 1,0,59.43
mffmdfom-1,Cluster 1,0,114.79
ohhmnhoj-1,Cluster 2,0,160.62
mfehkjnj-1,Cluster 2,0,44.39
mfboehkc-1,Cluster 2,2,49.45
mfcbalbm-1,Cluster 2,0,48.45
ohhlgcpd-1,Cluster 2,0,14.59
mgeakbnd-1,Cluster 1,2,165.95
mgdlnooo-1,Cluster 1,0,107.52
mfdolbak-1,Cluster 1,0,146.89
mgdjbcje-1,Cluster 2,1,73.56
mgdpnkac-1,Cluster 2,1,88.82
mgeajojd-1,Cluster 1,0,99.84
mfdpkjbc-1,Cluster 1,0,110.72
ohklighf-1,Cluster 2,0,213.81
mgdkeinm-1,Cluster 2,0,81.24
mfecbmee-1,Cluster 1,0,117.99
mfeigpjc-1,Cluster 2,0,22.22
mgdlbclc-1,Cluster 1,1,136.33
mgddgdoh-1,Cluster 1,2,127.93
mgddbkpe-1,Cluster 1,1,86.34
mgdamcgl-1,Cluster 2,0,53.06
mgcpfpfc-1,Cluster 1,2,106.34
mfeepbde-1,Cluster 1,0,77.94
mfedfoic-1,Cluster 1,0,124.50
mgdekchb-1,Cluster 1,1,109.82
mfccblpc-1,Cluster 2,0,39.06
mgckpnmk-1,Cluster 2,1,65.21
mgdbhfjn-1,Cluster 1,0,155.16
mfedcngk-1,Cluster 2,0,57.30
mgdcdffp-1,Cluster 1,2,150.91
mgchfdba-1,Cluster 2,0,76.77
mfegcbbb-1,Cluster 1,0,136.33
mfefhoci-1,Cluster 2,0,99.84
ohickmgn-1,Cluster 2,0,21.18
mgdafkbj-1,Cluster 1,0,27.23
ohifppon-1,Cluster 2,0,228.76
ohkkgpfd-1,Cluster 2,0,37.80
mgdcgjlg-1,Cluster 2,2,105.67
mfegmfja-1,Cluster 1,0,140.93
mfehckjo-1,Cluster 2,0,51.75
mfblimcl-1,Cluster 2,0,20.95
ohkkgkdi-1,Cluster 2,0,191.28
mfefbbfg-1,Cluster 2,0,39.87
mgcopdlb-1,Cluster 1,0,60.74
mfdcccgi-1,Cluster 2,0,29.40
mgcoahjn-1,Cluster 2,2,47.19
mfcdkhln-1,Cluster 2,0,82.91
mfcdflcm-1,Cluster 2,0,21.40
mgclkahj-1,Cluster 2,1,59.15
ohkigcck-1,Cluster 2,0,28.27
mfchaill-1,Cluster 2,1,46.10
mfcjjglb-1,Cluster 2,0,66.24
mgcpeclp-1,Cluster 2,0,77.44
mgchghha-1,Cluster 2,1,37.62
mfcjbhhi-1,Cluster 2,1,54.86
mgckgbfm-1,Cluster 1,1,135.24
mgckbnah-1,Cluster 2,0,51.88
mfcjjgbo-1,Cluster 2,0,49.04
mfcibifk-1,Cluster 2,0,46.78
mfckmkln-1,Cluster 2,1,27.91
mgcnjgna-1,Cluster 1,0,62.81
mgcllpjp-1,Cluster 1,0,126.89
kpcjejjk-1,Cluster 2,0,16.21
kphaacaj-1,Cluster 2,0,47.10
kpfngidi-1,Cluster 2,0,75.09
kphagmfg-1,Cluster 2,0,68.50
kpfoimcb-1,Cluster 2,0,46.10
kpfnenpg-1,Cluster 2,1,38.79
kpgocaon-1,Cluster 2,1,36.76
kpioiefp-1,Cluster 2,0,31.97
kpfpbmlm-1,Cluster 2,0,81.15
kpfnfhkg-1,Cluster 2,0,55.81
kpgokfcj-1,Cluster 2,0,52.97
kpgnhpjh-1,Cluster 2,0,53.87
kpgmfllk-1,Cluster 2,4,64.98
kpgchpie-1,Cluster 2,0,60.96
kpgbjbbh-1,Cluster 2,3,58.48
kpgcponm-1,Cluster 2,1,98.94
kpgnmgjc-1,Cluster 2,0,58.25
llilfcdk-1,Cluster 2,1,41.95
llikfcpi-1,Cluster 2,0,37.71
lljebdnj-1,Cluster 2,0,32.92
lljbfalb-1,Cluster 2,1,62.99
lnnjchab-1,Cluster 2,0,45.20
llimklkb-1,Cluster 2,0,47.23
lljcdhah-1,Cluster 2,1,56.36
kpampnbc-1,Cluster 2,0,50.89
lljeajlp-1,Cluster 2,0,60.64
lnmkbkbp-1,Cluster 2,0,56.72
kpagioke-1,Cluster 2,0,55.63
kpahiehj-1,Cluster 2,2,98.17
kpaenohc-1,Cluster 2,0,69.18
lnmmndce-1,Cluster 2,0,75.82
kpaocgeh-1,Cluster 2,1,92.30
kpaonmeo-1,Cluster 2,0,45.43
kpaonmij-1,Cluster 2,0,75.68
kpajpkea-1,Cluster 2,0,39.78
kpajpmen-1,Cluster 2,0,66.88
kpbddgnd-1,Cluster 2,0,36.40
kpbcnpkb-1,Cluster 2,0,13.91
lnmpbdoj-1,Cluster 2,1,68.95
kpbbclhk-1,Cluster 2,0,40.64
kpbbefcm-1,Cluster 2,0,30.62
kpbbckpf-1,Cluster 2,0,36.40
kpbngkkm-1,Cluster 2,1,27.68
kpaicjpd-1,Cluster 2,0,105.03
kpbhlhie-1,Cluster 2,0,92.71
kopnpenm-1,Cluster 2,0,38.43
koppijbd-1,Cluster 2,0,60.28
kopnhkag-1,Cluster 2,1,133.39
kopmkkjd-1,Cluster 2,1,33.28
kopmnifb-1,Cluster 2,0,28.63
kpahjokj-1,Cluster 2,0,67.73
kpachdml-1,Cluster 2,0,41.32
kpadbjkg-1,Cluster 2,0,31.02
kopnndbm-1,Cluster 2,0,70.99
kpaalhbk-1,Cluster 2,0,38.20
oghaicpi-1,Cluster 2,0,225.06
kopmnckh-1,Cluster 2,1,42.72
lnnopbgp-1,Cluster 2,1,55.54
lmjijddh-1,Cluster 2,0,41.59
lmkfpgeg-1,Cluster 2,1,49.94
lmkghllj-1,Cluster 2,0,59.38
lnoclknh-1,Cluster 2,0,51.21
lnodcgpe-1,Cluster 2,0,23.80
lmkdchoe-1,Cluster 2,1,37.48
lnoddjoo-1,Cluster 2,1,32.42
lminajmm-1,Cluster 2,0,24.07
lmjpkccl-1,Cluster 2,1,50.94
lmjgjfnj-1,Cluster 2,0,11.29
lnomjnpo-1,Cluster 2,0,66.79
lmjmogle-1,Cluster 2,0,23.17
lmjodfoc-1,Cluster 2,1,40.51
lmjogokf-1,Cluster 2,0,44.34
lnnmipcd-1,Cluster 2,0,91.98
lnnmkmde-1,Cluster 2,0,66.29
lnnkpdcd-1,Cluster 2,1,80.42
lmjfjhic-1,Cluster 2,0,81.51
lmjkemih-1,Cluster 2,0,42.22
lmjilfpl-1,Cluster 2,2,54.23
lmipfekj-1,Cluster 2,0,40.78
lmkfhgok-1,Cluster 2,0,31.34
lnmbggja-1,Cluster 2,0,82.18
lnnpklke-1,Cluster 2,1,69.41
lmkfbbhh-1,Cluster 2,0,44.66
lnnnlhfi-1,Cluster 2,1,54.46
llhddlnh-1,Cluster 2,1,74.96
llimhlae-1,Cluster 2,1,59.97
lmjmgkhd-1,Cluster 2,0,21.40
lmjkphpl-1,Cluster 2,0,64.71
llgnlgea-1,Cluster 2,0,77.13
lnncmedi-1,Cluster 2,0,63.76
lnmmefgf-1,Cluster 2,1,50.94
lnmmbhpm-1,Cluster 2,0,43.35
lmjkbimo-1,Cluster 2,1,52.56
lljidljd-1,Cluster 2,1,40.64
lnnhbjdf-1,Cluster 2,1,49.36
lnmfpjdc-1,Cluster 2,1,63.22
mfncaeko-1,Cluster 2,0,40.69
lnnbjbob-1,Cluster 2,0,47.87
lljgaddd-1,Cluster 2,0,30.84
lnmpkhhe-1,Cluster 2,0,62.99
lnmmejhc-1,Cluster 2,1,44.70
mfnhjngf-1,Cluster 2,0,54.05
llgmahcj-1,Cluster 2,0,63.53
lnnkbnge-1,Cluster 2,3,48.23
llijkbjb-1,Cluster 2,0,27.14
lljiamop-1,Cluster 2,0,95.37
lnneocca-1,Cluster 2,2,58.48
lnnehebn-1,Cluster 2,0,68.77
lnmpekge-1,Cluster 2,1,73.97
lnmegkai-1,Cluster 2,3,72.11
lnmcdmpk-1,Cluster 2,0,34.54
lljgdegn-1,Cluster 2,0,24.02
lnmlhlli-1,Cluster 2,0,44.70
lnnkjocm-1,Cluster 2,0,25.42
lljdaikk-1,Cluster 2,1,64.35
lmoobclo-1,Cluster 1,0,139.94
lnlebihn-1,Cluster 1,0,133.93
loaiadoo-1,Cluster 1,1,113.97
lnpbfjpd-1,Cluster 2,0,53.47
lmolkmko-1,Cluster 2,0,39.83
lnpbgbgi-1,Cluster 1,0,39.87
lmnmianl-1,Cluster 2,0,36.35
ohakcmde-1,Cluster 2,0,53.10
lmnnjnbm-1,Cluster 2,0,150.51
ohagidmi-1,Cluster 2,0,25.24
lmokhlam-1,Cluster 1,0,94.92
lnphicip-1,Cluster 1,0,70.85
lnpbjahm-1,Cluster 2,0,64.71
lmobfbik-1,Cluster 2,1,65.88
lmhopegn-1,Cluster 2,1,60.37
lnpeanch-1,Cluster 2,1,94.33
lnpeekil-1,Cluster 1,0,135.74
lnpgpikp-1,Cluster 2,0,104.36
lnpibjdg-1,Cluster 1,0,114.92
lnpdkmhf-1,Cluster 2,0,80.78
lmnnnffd-1,Cluster 2,0,15.94
lmikelki-1,Cluster 2,1,56.81
lmilcege-1,Cluster 2,0,69.50
lnpgdjco-1,Cluster 2,0,76.36
lmikkmlb-1,Cluster 2,1,36.58
lmicadje-1,Cluster 2,0,93.70
ohaejimn-1,Cluster 2,0,65.66
lmjagfhd-1,Cluster 2,0,60.78
ogpcoimn-1,Cluster 2,1,12.42
lnokhdoo-1,Cluster 2,0,41.54
lnoknmhf-1,Cluster 2,0,58.48
lnofhkgk-1,Cluster 2,1,132.94
