#Selection name: Selection 4
#Area (µm^2): 3190188.54
Cell ID,Cluster,Transcripts,Area (µm^2)
heijppik-1,Cluster 2,1,48.18
aalibhlc-1,Cluster 2,0,72.75
aalcogij-1,Cluster 2,0,31.20
heihoohe-1,Cluster 2,0,50.98
klkiiifl-1,Cluster 2,1,33.01
aaljcibk-1,Cluster 2,2,89.45
klknelhl-1,Cluster 2,0,43.35
aalcdofj-1,Cluster 2,1,47.91
aalcdlim-1,Cluster 2,3,64.39
hfbgjfeg-1,Cluster 2,1,47.91
hfefbalc-1,Cluster 2,2,55.45
heijlapf-1,Cluster 2,1,24.02
heiomohb-1,Cluster 2,0,43.21
kllajnhb-1,Cluster 2,3,82.59
kllagope-1,Cluster 2,0,57.53
klkpoljm-1,Cluster 2,0,39.33
kmaekaab-1,Cluster 2,1,39.65
kmccihce-1,Cluster 2,0,13.46
klkodemg-1,Cluster 2,0,13.68
klkdhcbp-1,Cluster 2,2,103.68
kljmfggp-1,Cluster 2,1,75.37
kljnmpik-1,Cluster 2,2,89.77
kljmpeco-1,Cluster 2,4,133.44
klkfhdec-1,Cluster 2,0,60.19
klkjbckc-1,Cluster 2,2,90.90
kljmnknm-1,Cluster 2,0,31.29
knagclec-1,Cluster 2,0,49.45
klkjecio-1,Cluster 2,2,79.48
klkmeiik-1,Cluster 2,1,67.55
kmcdpijd-1,Cluster 1,0,112.53
knahhmdi-1,Cluster 2,0,39.65
knahjabp-1,Cluster 2,1,58.88
knaihene-1,Cluster 2,0,15.26
heikeegi-1,Cluster 2,0,20.23
hejbmcop-1,Cluster 2,0,42.67
knajldch-1,Cluster 2,0,42.72
knakpmkh-1,Cluster 2,1,95.37
knalmgmo-1,Cluster 2,1,56.54
hejbmeec-1,Cluster 2,2,92.12
hejacole-1,Cluster 2,0,84.71
heioofcf-1,Cluster 2,1,25.74
klppohml-1,Cluster 2,0,57.48
kljlhmak-1,Cluster 2,0,75.41
knanpkki-1,Cluster 2,2,33.60
kmaaakbh-1,Cluster 2,1,51.57
knanpkic-1,Cluster 2,1,58.93
knaoagac-1,Cluster 2,0,83.63
klkejmfh-1,Cluster 2,0,48.63
hfeeppfc-1,Cluster 2,0,32.20
hfbeodnn-1,Cluster 2,2,61.73
hfaoleam-1,Cluster 2,0,50.94
klgeicfh-1,Cluster 1,1,158.05
hfcieeid-1,Cluster 2,2,100.79
hfdhdmbd-1,Cluster 2,0,15.90
hfdiaiom-1,Cluster 2,0,57.94
hfcikeno-1,Cluster 2,0,47.82
hfbfomje-1,Cluster 2,0,51.66
hfaocnim-1,Cluster 2,0,34.86
knapfjia-1,Cluster 2,0,77.94
hfecgppf-1,Cluster 2,1,28.13
hfechmag-1,Cluster 2,0,24.57
hfbngdbl-1,Cluster 2,0,28.58
hfbmaeog-1,Cluster 2,3,85.39
hfdhdjgj-1,Cluster 2,2,78.17
hfblkgnp-1,Cluster 2,1,20.50
hfbhnbjg-1,Cluster 2,0,30.48
hfaodmci-1,Cluster 2,0,18.60
